,counter,binary,tfidf
6500,1.9360932111740112,1.934600830078125,1.9335665702819824
6000,1.9368644952774048,1.9315868616104126,1.936206340789795
5500,1.9351725578308105,1.9378210306167603,1.9340190887451172
5000,1.935578465461731,1.9322962760925293,1.9316812753677368
4500,1.9337859153747559,1.9329239130020142,1.925278663635254
4000,1.93112313747406,1.9275422096252441,1.9284614324569702
1000,1.9283275604248047,1.9258519411087036,1.9236012697219849
500,1.9227672815322876,1.92365300655365,1.926230549812317
250,1.9240188598632812,1.920519232749939,1.9207944869995117
100,1.917378544807434,1.9195140600204468,1.9162479639053345
