,counter,binary,tfidf
6500,6.91697937701325e-310,6.9169793770164e-310,6.9169793770196e-310
6000,6.91697937702274e-310,6.9169793770196e-310,6.9169793770259e-310
5500,6.91697937702906e-310,6.9169793770196e-310,6.9169793770196e-310
5000,6.91697937703222e-310,6.91697937701325e-310,6.9169793770164e-310
4500,6.9169793770196e-310,6.91697937702274e-310,6.9169793770196e-310
4000,6.9169793770259e-310,6.91697937702906e-310,6.9169793770196e-310
1000,6.9169793770196e-310,6.91697937703222e-310,6.91697937701325e-310
500,6.9169793770164e-310,6.9169793770196e-310,6.91697937702274e-310
250,6.9169793770196e-310,6.9169793770259e-310,6.91697937702906e-310
100,6.9169793770196e-310,6.9169793770196e-310,6.91697937703222e-310
